国家,寿命,变化,变化绝对值,变化方向
Portugal,80.9,5.1,5.1,多
Puerto Rico,81,5.2,5.2,多
Qatar,79,3.2,3.2,多
Romania,75.6,-0.2,0.2,少
Russia,71.3,-4.5,4.5,少
Rwanda,64.5,-11.3,11.3,少
"Saint Helena, Ascension, and Tristan da Cunha",79.8,4,4,多
Saint Kitts and Nevis,76.2,0.4,0.4,多
Saint Lucia,78.1,2.3,2.3,多
Saint Pierre and Miquelon,80.7,4.9,4.9,多
Saint Vincent and the Grenadines,75.8,0,0,多
Samoa,74.2,-1.6,1.6,少
San Marino,83.4,7.6,7.6,多
Sao Tome and Principe,65.7,-10.1,10.1,少
Saudi Arabia,75.7,-0.1,0.1,少
Senegal,62.5,-13.3,13.3,少
Serbia,75.9,0.1,0.1,多
Seychelles,75.2,-0.6,0.6,少
Sierra Leone,59,-16.8,16.8,少
Singapore,85.5,9.7,9.7,多
Sint Maarten,78.5,2.7,2.7,多
Slovakia,77.4,1.6,1.6,多
Slovenia,81.2,5.4,5.4,多
Solomon Islands,75.8,0,0,多
Somalia,53.2,-22.6,22.6,少
South Africa,64.1,-11.7,11.7,少
Spain,81.8,6,6,多
Sri Lanka,77.1,1.3,1.3,多
Sudan,65.8,-10,10,少
Suriname,72.8,-3,3,少
Sweden,82.2,6.4,6.4,多
Switzerland,82.7,6.9,6.9,多
Syria,75.2,-0.6,0.6,少
Taiwan,80.4,4.6,4.6,多
Tajikistan,68.4,-7.4,7.4,少
Tanzania,63.1,-12.7,12.7,少
Thailand,75.1,-0.7,0.7,少
Timor-Leste,68.7,-7.1,7.1,少
Togo,65.8,-10,10,少
Tonga,76.6,0.8,0.8,多
Trinidad and Tobago,73.4,-2.4,2.4,少
Tunisia,75.9,0.1,0.1,多
Turkey,75.3,-0.5,0.5,少
Turkmenistan,70.7,-5.1,5.1,少
Turks and Caicos Islands,80.1,4.3,4.3,多
Tuvalu,67.2,-8.6,8.6,少
Uganda,56.3,-19.5,19.5,少
Ukraine,72.4,-3.4,3.4,少
United Arab Emirates,78.7,2.9,2.9,多
United Kingdom,80.9,5.1,5.1,多
United States,80.1,4.3,4.3,多
Uruguay,77.6,1.8,1.8,多
Uzbekistan,74.3,-1.5,1.5,少
Vanuatu,74,-1.8,1.8,少
Venezuela,76.2,0.4,0.4,多
Vietnam,73.9,-1.9,1.9,少
Virgin Islands,79.5,3.7,3.7,多
Wallis and Futuna,80,4.2,4.2,多
West Bank,75.4,-0.4,0.4,少
Western Sahara,63.8,-12,12,少
Yemen,66.2,-9.6,9.6,少
Zambia,53,-22.8,22.8,少
Zimbabwe,61.1,-14.7,14.7,少
