国家,肥胖率,变化,变化绝对值,变化方向
Malawi,580.00%,0,6%,少
Rwanda,580.00%,0,6%,少
Burkina Faso,560.00%,0,10%,少
Afghanistan,550.00%,0,11%,少
Niger,550.00%,0,11%,少
Burundi,540.00%,0,13%,少
Laos,530.00%,0,15%,少
Madagascar,530.00%,0,15%,少
Uganda,530.00%,0,15%,少
Sri Lanka,520.00%,0,16%,少
Eritrea,500.00%,0,19%,少
"Korea, South",470.00%,0,24%,少
Ethiopia,450.00%,0,27%,少
Japan,430%,0,31%,少
Nepal,410.00%,0,34%,少
Cambodia,390.00%,0,37%,少
India,390%,0,37%,少
Timor-Leste,380.00%,0,39%,少
Bangladesh,360%,0,42%,少
Vietnam,210.00%,-1,66%,少
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
