country,life,GDP,shiye,shiyefl,wangmin,wangminfl,fat,fatfl
Iraq,-0.9,0,0.54,g,0.6015,d,3.9,g
Ireland,5.2,56500,0.72,g,0.545113,g,3.08,g
Isle of Man,5.6,67900,0.72,ตอ,,,,
Israel,6.9,19700,0.08,g,0.5,g,3.21,g
Italy,6.6,21500,0.67,ตอ,0.152256,g,2.21,g
Jamaica,-1.3,-7500,0.44,ตอ,0.15414,d,2.98,g
Japan,9.7,26200,0.26,ตอ,0.729323,g,0.31,d
Jersey,6.2,39900,0.03,g,0.120301,g,,
Jordan,-0.8,-7500,1.13,g,0.171053,g,4.73,g
Kazakhstan,-4.4,9600,0.28,g,0.443609,g,2.39,g
Kenya,-11.2,-13200,1,ตอ,0.51128,d,0.15,g
Kiribati,-8.9,-14700,0.85,ตอ,0.74248,d,6.42,g
"Korea, North",-4.8,-15000,0.44,g,,,0.1,g
"Korea, South",6.7,22800,0.05,ตอ,0.68985,g,0.24,d
Kuwait,2.5,49100,0.72,ตอ,0.473684,g,5.11,g
Kyrgyzstan,-4.6,-13000,0.82,g,0.3515,d,1.68,g
Laos,-10.8,-9300,0.82,ตอ,0.65789,d,0.15,d
Latvia,-0.9,11000,1.23,g,0.50188,g,2.81,g
Lebanon,2.1,2900,1.49,g,0.430451,g,4.16,g
Lesotho,-22.8,-13400,1.08,g,0.48496,d,1.68,g
Liberia,-12,-15400,0.28,ตอ,0.86278,d,0.6,g
Libya,1.1,-7100,1,ตอ,0.61842,d,4.24,g
Liechtenstein,6.2,122400,0.38,ตอ,0.843985,g,,
Lithuania,-0.6,15700,0.82,g,0.398496,g,3.24,g
Luxembourg,6.6,88400,0.49,g,0.832707,g,2.65,g
Macau,8.8,93300,0.49,ตอ,0.458647,g,,
Macedonia,0.1,-1800,0.38,ตอ,0.323308,g,2.61,g
Madagascar,-9.2,-15100,0.54,ตอ,0.91165,d,0.15,d
Malawi,-13.6,-15500,0.9,ตอ,0.81955,d,0.06,d
Malaysia,-0.4,12400,0.13,ตอ,0.481203,g,1.52,g
Maldives,0.2,2500,0.26,ตอ,0.110902,g,0.39,g
Mali,-15,-14500,1.03,g,0.79135,d,0.39,g
Malta,6.9,25200,0.18,g,0.453008,g,3.66,g
Marshall Islands,-2.2,-13100,0.54,g,0.43985,d,7.53,g
Mauritania,-12,-12200,0.95,ตอ,0.66165,d,1.05,g
Mauritius,0.2,5600,0.82,g,0,z,0.74,g
Mexico,0.5,3200,0.13,ตอ,0.118421,g,3.66,g
"Micronesia, Federated States of",-2.4,-13300,0.59,g,0.40789,d,6.39,g
Moldova,-4.5,-10000,0.05,g,0.334586,g,2.05,g
Monaco,13.6,99000,0.49,ตอ,0.789474,g,,
Mongolia,-5.6,-3700,1.05,g,0.58083,d,2.32,g
Montserrat,-1,17300,0.44,g,0.026316,g,,
Morocco,1.5,-8100,0.95,ตอ,0.095865,g,3.21,g
Mozambique,-21.7,-15400,0.15,g,0.67105,d,0.16,g
Namibia,-11.4,-5500,0.03,g,0.41729,d,1.77,g
Nauru,-8,-4400,0.23,ตอ,0.005639,g,8.84,g
Nepal,-4.5,-14000,0.23,ตอ,0.6297,d,0.34,d
Netherlands,5.7,37200,0.26,g,0.699248,g,2.29,g
New Caledonia,2.2,14400,0.21,g,0.390977,g,,
New Zealand,5.6,22300,0.21,g,0.663534,g,3.97,g
Nicaragua,-2.1,-10800,0.64,g,0.53759,d,2.82,g
Niger,-19.5,-15500,0.92,ตอ,0.91917,d,0.11,d
Nigeria,-16.5,-10800,0.67,g,0.51692,d,0.44,g
Northern Mariana Islands,-0.2,7800,0.69,ตอ,0.42481,d,,
Norway,6.2,55400,0.08,g,0.828947,g,2.73,g
Oman,0.1,29300,,,0.31203,g,3.35,g
Pakistan,-7.4,-11300,0.54,g,0.70865,d,0.39,g
Palau,-2.2,-2000,0.56,ตอ,0.32331,d,7.92,g
Panama,3.1,8700,0.54,g,0.015038,g,2.66,g
Papua New Guinea,-8.3,-13000,0.36,ตอ,0.81955,d,2.44,g
Paraguay,1.8,-3900,0.46,g,0.03571,d,2.27,g
Peru,-1.6,-3200,0.77,g,0.14474,d,2.18,g
Philippines,-6.2,-8300,0.46,g,0.043233,g,0.03,g
Poland,2.1,12900,0.26,g,0.37782,g,2.73,g
Portugal,5.1,13800,1.28,g,0.323308,g,2.35,g
Puerto Rico,5.2,22700,0.79,ตอ,0.509398,g,,
Qatar,3.2,107400,1.28,g,0.772556,g,4.66,g
Romania,-0.2,7900,0.26,g,0.118421,g,2.63,g
Russia,-4.5,11200,0.33,g,0.43609,g,2.73,g
Rwanda,-11.3,-14600,0.31,ตอ,0.43985,d,0.06,d
"Saint Helena, Ascension, and Tristan da Cunha",4,-8900,0.03,g,0.56579,d,,
Saint Kitts and Nevis,0.4,11500,0.15,g,0.422932,g,2.69,g
Saint Lucia,2.3,-2300,1,ตอ,0.01504,d,2.18,g
Saint Pierre and Miquelon,4.9,29500,1.23,g,0.494361,g,,
Saint Vincent and the Grenadines,0,-5200,1.26,g,0.02632,d,2.82,g
Samoa,-1.6,-11000,0.33,g,0.44737,d,6.63,g
San Marino,7.6,42300,1.08,g,0.01128,d,,
Sao Tome and Principe,-10.1,-13500,0.44,ตอ,0.51504,d,1,g
Saudi Arabia,-0.1,37800,0.54,g,0.387218,g,4.71,g
Senegal,-13.3,-13200,1.05,g,0.51692,d,0.42,g
Serbia,0.1,-1600,0.05,g,0.261278,g,2.47,g
Seychelles,-0.6,12600,0.23,ตอ,0.06203,g,1.26,g
Sierra Leone,-16.8,-15100,0.28,g,0.7782,d,0.4,g
Singapore,9.7,77400,0.44,ตอ,0.522556,g,0.02,d
Sint Maarten,2.7,50100,0.49,ตอ,,,,
Slovakia,1.6,16400,1.08,g,0.513158,g,2.31,g
Slovenia,5.4,17800,0.69,g,0.419173,g,2.26,g
Solomon Islands,0,-14500,,,0.79323,d,2.63,g
South Africa,-11.7,-3100,0.92,g,0.015038,g,3.56,g
Spain,6,21700,0.85,g,0.515038,g,2.84,g
Sri Lanka,1.3,-3800,0.13,g,0.39662,d,0.16,d
Sudan,-10,-12400,1.46,g,0.47368,d,0.06,g
Suriname,-3,-1800,1.28,g,0.14662,d,3.26,g
Sweden,6.4,34500,0.72,g,0.719925,g,2.32,g
Switzerland,6.9,45400,0.18,ตอ,0.680451,g,2.15,g
Syria,-0.6,-13800,1,ตอ,0.40038,d,3.48,g
Taiwan,4.6,33800,0.03,ตอ,0.654135,g,,
Tajikistan,-7.4,-13500,0.38,ตอ,0.61466,d,1.29,g
Tanzania,-12.7,-13500,0.92,ตอ,0.75564,d,0.35,g
Thailand,-0.7,1200,0.82,ตอ,0.10714,d,0.61,g
Timor-Leste,-7.1,-10700,0.13,g,0.52632,d,0.39,d
Togo,-10,-15000,0.77,g,0.78759,d,0.35,g
Tonga,0.8,-10800,0.72,ตอ,0.24812,d,6.77,g
Trinidad and Tobago,-2.4,14600,0.26,g,0.300752,g,2,g
Tunisia,0.1,-4800,0.41,g,0.04323,d,3.34,g
Turkey,-0.5,10300,0.77,ตอ,0.095865,g,4.18,g
Turkmenistan,-5.1,1500,0.74,ตอ,0.66165,d,2,g
Turks and Caicos Islands,4.3,12400,1,ตอ,,,,
Tuvalu,-8.6,-12900,,,0.13534,d,7.32,g
Uganda,-19.5,-14300,1.41,g,0.13722,d,0.15,d
Ukraine,-3.4,-7900,1.36,g,0.01316,d,2.89,g
United Arab Emirates,2.9,51900,0.59,ตอ,0.703008,g,4.11,g
United Kingdom,5.1,27600,0.13,g,0.781955,g,3.48,g
United States,4.3,43100,0.13,g,0.432331,g,4.84,g
Uruguay,1.8,5700,0.95,g,0.24812,g,3.5,g
Uzbekistan,-1.5,-9800,0.28,g,0.1203,d,1.68,g
Vanuatu,-1.8,-14000,0.56,ตอ,0.54887,d,3.06,g
Venezuela,0.4,-4200,0.82,g,0.12782,g,3.13,g
Vietnam,-1.9,-9800,0.44,ตอ,0.0094,d,0.66,d
Virgin Islands,3.7,20300,0.9,ตอ,0.030075,g,,
Wallis and Futuna,4.2,-12900,1.26,g,0.58459,d,,
West Bank,-0.4,-12400,1.03,g,0.078947,g,,
Western Sahara,-12,-14200,,,,,,
Yemen,-9.6,-14200,0.79,g,0.53759,d,1.76,g
Zambia,-22.8,-12700,0.28,g,0.52068,d,0.31,g
Zimbabwe,-14.7,-14400,0.67,ตอ,0.56579,d,1.5,g
